frame,time_ps,dO56_R346,dO56_R483,dO57_R346,dO57_R483,anchor_min,tail_hsa_min,cls,dO38_R408,pep_ecd_min,com_hsa_ecd,lnk_e2e,lnk_rg
133,13300.000,25.335,23.938,23.784,22.481,22.481,6.695,transition,11.463,2.491,47.207,27.995,10.711
134,13400.000,20.821,19.894,22.872,21.863,19.894,4.747,transition,13.175,2.674,48.347,26.940,10.573
135,13500.000,20.405,19.323,18.928,17.589,17.589,3.644,surface,10.787,2.707,47.353,22.466,9.603
136,13600.000,20.457,18.976,18.603,16.976,16.976,2.962,surface,11.941,2.688,47.093,24.868,9.810
137,13700.000,22.181,20.625,20.251,18.742,18.742,2.835,surface,12.046,2.648,47.687,27.951,10.702
138,13800.000,19.533,18.061,19.253,17.359,17.359,3.716,surface,12.320,2.794,47.110,23.245,9.262
139,13900.000,19.058,18.589,19.122,18.658,18.589,4.256,transition,12.343,2.832,46.806,22.545,9.669
140,14000.000,20.362,18.673,19.676,18.308,18.308,3.380,surface,12.058,2.775,47.066,24.628,9.672
141,14100.000,28.719,25.981,30.462,27.901,25.981,5.998,transition,11.965,3.096,47.145,22.682,10.025
142,14200.000,24.462,23.505,26.429,25.580,23.505,7.479,transition,12.508,2.693,46.706,20.684,9.813
143,14300.000,28.161,26.495,28.766,26.952,26.495,9.724,transition,13.338,2.800,46.155,24.518,9.953
144,14400.000,26.432,24.926,27.944,26.123,24.926,5.160,transition,12.545,2.886,46.753,19.375,9.130
145,14500.000,29.212,27.148,29.221,27.256,27.148,5.461,transition,12.050,2.957,47.011,20.197,9.370
146,14600.000,24.125,22.696,25.769,24.245,22.696,9.932,transition,12.160,3.009,47.217,22.526,9.590
147,14700.000,31.247,29.087,31.201,29.123,29.087,8.219,transition,11.799,2.869,46.798,27.578,10.353
148,14800.000,32.654,30.169,32.710,30.549,30.169,11.521,aqueous,10.574,2.850,47.128,33.009,10.873
149,14900.000,32.466,30.399,33.322,31.137,30.399,8.060,transition,15.204,2.577,47.253,28.008,10.894
150,15000.000,34.231,32.224,35.009,32.905,32.224,9.843,transition,16.366,2.704,46.998,30.576,11.233
151,15100.000,32.839,29.969,33.103,30.216,29.969,6.639,transition,14.285,3.174,47.100,27.443,10.349
152,15200.000,36.620,33.464,35.137,32.177,32.177,10.532,aqueous,15.289,2.907,47.089,32.588,11.404
153,15300.000,33.848,31.704,32.108,29.996,29.996,7.330,transition,15.689,2.920,47.148,27.117,10.661
154,15400.000,25.379,23.804,26.526,24.853,23.804,7.008,transition,14.852,2.674,47.597,16.652,9.283
155,15500.000,18.831,17.910,17.302,16.660,16.660,4.119,transition,13.503,2.648,47.796,18.038,8.811
156,15600.000,13.999,12.372,14.740,13.633,12.372,3.493,surface,14.389,3.060,48.196,14.977,8.225
157,15700.000,13.309,12.258,14.432,13.735,12.258,2.940,surface,14.336,2.999,47.619,15.238,8.504
158,15800.000,13.155,11.092,14.124,12.526,11.092,3.170,surface,15.226,2.652,48.498,15.516,8.356
159,15900.000,13.581,11.482,15.217,13.422,11.482,3.074,surface,13.797,2.738,47.908,16.732,8.434
160,16000.000,17.356,15.448,16.223,14.528,14.528,3.317,surface,15.704,3.308,47.808,15.700,8.592
161,16100.000,11.914,10.359,13.185,11.370,10.359,3.280,surface,14.522,2.841,47.501,15.067,8.153
162,16200.000,14.635,12.855,14.768,12.787,12.787,3.280,surface,14.854,2.897,47.924,17.279,8.415
163,16300.000,12.349,10.799,13.697,11.882,10.799,3.400,surface,14.680,3.437,47.997,17.308,8.619
164,16400.000,14.872,12.897,16.068,14.452,12.897,3.204,surface,13.982,3.169,48.566,16.623,8.763
165,16500.000,13.385,11.725,14.115,12.340,11.725,3.184,surface,14.487,2.705,47.519,17.305,8.748
166,16600.000,13.124,11.272,13.568,11.491,11.272,3.382,surface,14.082,2.721,47.731,17.200,8.513
167,16700.000,12.731,11.156,13.274,11.487,11.156,3.227,surface,14.962,2.656,48.090,17.095,8.299
168,16800.000,15.025,12.772,14.160,12.361,12.361,2.762,surface,14.051,2.668,47.501,17.252,8.694
169,16900.000,13.850,12.179,12.803,11.683,11.683,2.777,surface,13.776,2.820,47.508,19.013,8.772
170,17000.000,14.627,12.907,13.828,12.665,12.665,3.365,surface,14.581,2.629,47.107,17.542,8.828
171,17100.000,14.155,12.413,13.830,12.672,12.413,2.934,surface,12.818,2.826,47.103,16.843,8.705
172,17200.000,14.722,14.058,14.336,13.004,13.004,3.430,surface,13.798,2.614,46.709,16.763,8.747
173,17300.000,13.528,12.935,12.873,11.815,11.815,3.729,surface,13.956,2.674,47.327,18.659,8.620
174,17400.000,12.692,12.176,12.747,11.540,11.540,3.055,surface,13.983,2.798,47.372,17.526,8.705
175,17500.000,12.903,10.658,14.167,11.910,10.658,3.515,surface,12.204,3.072,46.993,16.552,8.482
