frame,time_ps,dO56_R346,dO56_R483,dO57_R346,dO57_R483,anchor_min,tail_hsa_min,cls,dO38_R408,pep_ecd_min,com_hsa_ecd,lnk_e2e,lnk_rg
30,3000.000,11.110,6.130,9.245,4.716,4.716,3.684,surface,14.053,2.757,48.101,23.654,8.986
31,3100.000,11.323,6.752,10.449,5.849,5.849,3.178,surface,14.307,2.911,48.018,24.098,8.899
32,3200.000,7.506,3.588,7.332,3.544,3.544,3.231,FA3,14.657,2.849,48.325,21.810,8.787
33,3300.000,5.997,3.663,6.473,5.046,3.663,3.098,FA3,15.649,2.782,47.718,22.438,8.998
34,3400.000,5.201,3.763,5.423,3.406,3.406,3.406,FA3,15.394,2.667,48.053,21.313,8.687
35,3500.000,7.369,3.941,5.859,4.141,3.941,3.005,FA3,13.253,2.847,48.490,21.651,8.881
36,3600.000,6.920,2.879,7.135,4.300,2.879,2.879,FA3,14.313,2.858,46.911,21.467,8.715
37,3700.000,5.063,3.209,5.193,3.593,3.209,3.209,FA3,13.857,2.642,47.725,22.808,9.163
38,3800.000,6.504,2.958,6.916,4.208,2.958,2.958,FA3,14.493,2.685,47.925,21.953,8.830
39,3900.000,6.393,3.357,6.932,4.809,3.357,3.357,FA3,13.324,2.826,49.215,21.967,8.798
40,4000.000,6.782,4.294,6.096,3.658,3.658,3.549,FA3,14.408,2.732,48.303,21.176,8.868
41,4100.000,5.411,3.065,5.685,3.636,3.065,3.065,FA3,14.957,2.622,48.970,20.816,8.867
42,4200.000,6.469,2.924,6.746,4.305,2.924,2.924,FA3,15.116,2.765,48.690,21.311,8.691
43,4300.000,6.545,3.058,6.794,4.604,3.058,3.023,FA3,13.001,2.690,47.912,22.640,9.238
44,4400.000,5.916,3.476,5.817,3.789,3.476,3.407,FA3,13.595,2.779,47.741,21.267,8.997
45,4500.000,7.965,4.119,6.871,4.116,4.116,2.993,surface,14.007,2.781,48.198,21.531,8.853
46,4600.000,6.636,3.869,5.894,3.974,3.869,3.485,FA3,13.798,2.894,48.406,21.261,8.606
47,4700.000,7.703,4.518,6.883,3.082,3.082,2.980,FA3,13.375,2.570,48.161,21.399,8.696
48,4800.000,7.606,4.769,6.579,3.167,3.167,3.167,FA3,13.058,2.704,47.882,21.824,8.684
49,4900.000,7.229,3.524,6.921,4.695,3.524,2.951,FA3,14.545,2.544,48.530,21.966,8.865
50,5000.000,6.992,3.208,7.257,4.710,3.208,3.170,FA3,14.253,2.783,48.674,21.888,8.732
51,5100.000,7.503,3.876,8.539,5.265,3.876,2.966,FA3,15.712,2.676,48.293,22.372,8.714
52,5200.000,8.049,3.503,7.597,3.452,3.452,3.101,FA3,15.023,2.734,48.773,21.636,8.892
53,5300.000,8.043,3.782,7.809,4.427,3.782,3.207,FA3,15.036,2.760,48.121,21.216,8.554
54,5400.000,7.328,3.063,7.556,4.915,3.063,3.063,FA3,15.016,2.760,48.114,20.986,8.620
55,5500.000,8.260,3.886,7.728,4.457,3.886,3.273,FA3,14.723,2.866,47.566,22.116,8.588
56,5600.000,7.432,4.483,7.844,3.143,3.143,3.143,FA3,14.154,2.853,47.863,22.732,8.853
57,5700.000,8.480,3.357,8.187,4.324,3.357,3.357,FA3,13.787,2.721,47.391,22.669,8.802
58,5800.000,8.074,3.376,8.229,5.041,3.376,3.376,FA3,13.463,2.727,47.546,22.470,8.738
59,5900.000,7.366,3.436,8.029,3.225,3.225,3.225,FA3,14.012,2.727,47.835,20.747,8.780
60,6000.000,8.086,3.826,9.796,5.892,3.826,3.337,FA3,14.486,2.697,48.192,21.592,8.570
61,6100.000,6.990,3.193,7.858,2.985,2.985,2.985,FA3,13.557,2.768,48.188,19.582,8.538
62,6200.000,7.897,3.145,9.153,3.768,3.145,3.145,FA3,13.396,2.607,47.873,18.866,8.260
63,6300.000,9.834,4.367,10.953,5.760,4.367,3.342,surface,14.302,2.679,48.180,21.668,8.886
64,6400.000,11.514,6.508,13.161,8.430,6.508,3.210,surface,15.073,2.643,48.209,22.064,8.881
65,6500.000,9.139,4.076,9.867,5.254,4.076,3.320,surface,14.692,2.769,48.036,22.016,8.798
66,6600.000,10.941,6.277,9.948,5.780,5.780,3.793,surface,14.235,2.867,47.983,21.189,8.321
67,6700.000,9.281,3.701,9.099,4.532,3.701,3.441,FA3,14.759,2.603,48.378,21.680,8.710
68,6800.000,9.360,5.110,7.552,3.876,3.876,3.238,FA3,14.914,2.739,48.700,20.599,8.477
69,6900.000,10.107,4.756,8.728,3.961,3.961,3.613,FA3,15.316,2.837,48.312,22.548,8.770
70,7000.000,8.108,4.233,7.582,4.992,4.233,3.403,surface,14.636,2.673,47.562,22.059,8.776
71,7100.000,8.293,4.470,7.161,3.795,3.795,3.436,FA3,13.865,2.664,47.152,22.512,8.910
72,7200.000,7.620,3.691,8.684,3.527,3.527,3.375,FA3,13.843,2.665,47.333,21.894,8.726
73,7300.000,7.218,5.289,7.189,3.457,3.457,3.457,FA3,14.616,2.760,47.760,22.734,8.681
74,7400.000,8.470,3.697,7.468,3.236,3.236,3.057,FA3,12.351,2.542,47.347,22.233,8.758
75,7500.000,8.168,4.897,6.670,3.346,3.346,3.144,FA3,12.699,2.572,47.569,22.163,8.725
76,7600.000,9.825,5.256,8.598,4.292,4.292,3.373,surface,13.867,2.635,47.110,21.716,8.884
77,7700.000,11.247,6.541,9.249,5.375,5.375,2.987,surface,13.347,2.684,47.785,23.765,8.696
78,7800.000,11.751,5.907,9.709,4.776,4.776,3.059,surface,13.978,2.645,47.797,24.132,9.001
79,7900.000,11.482,6.297,9.456,5.133,5.133,3.022,surface,13.548,2.701,47.287,22.752,9.178
80,8000.000,11.156,6.661,9.020,5.291,5.291,3.344,surface,11.313,2.716,47.905,23.119,9.037
81,8100.000,12.440,5.936,10.292,3.849,3.849,3.142,FA3,14.661,2.748,47.291,23.193,8.893
82,8200.000,9.484,5.432,7.956,3.834,3.834,2.730,FA3,12.791,2.579,47.759,22.955,9.071
83,8300.000,11.411,6.731,9.517,5.588,5.588,3.073,surface,12.665,2.740,47.008,23.213,8.610
84,8400.000,10.398,6.388,9.106,6.229,6.229,2.912,surface,14.351,2.781,47.371,24.133,8.812
85,8500.000,11.100,6.232,8.936,4.682,4.682,2.982,surface,14.405,2.715,47.572,23.485,8.565
86,8600.000,10.750,6.290,8.687,4.439,4.439,3.152,surface,13.936,2.742,47.195,22.918,8.559
87,8700.000,10.936,6.366,9.065,5.246,5.246,2.956,surface,14.169,2.688,47.220,23.660,8.352
88,8800.000,11.816,6.428,9.991,5.336,5.336,2.979,surface,13.707,2.561,47.082,24.018,8.747
89,8900.000,11.232,6.530,9.261,5.275,5.275,3.242,surface,13.918,2.635,47.353,24.499,8.809
90,9000.000,11.627,6.357,9.687,5.166,5.166,2.802,surface,14.736,2.735,46.709,23.743,8.847
91,9100.000,11.449,6.344,9.818,5.351,5.351,3.145,surface,13.716,2.787,47.311,24.696,8.800
92,9200.000,10.639,6.012,9.031,5.515,5.515,3.066,surface,14.336,2.675,47.416,25.161,9.048
93,9300.000,8.964,5.104,9.584,5.056,5.056,3.249,surface,14.151,2.735,47.638,23.740,8.838
94,9400.000,8.137,3.422,9.086,4.348,3.422,3.010,FA3,14.524,2.586,47.648,23.253,8.796
95,9500.000,10.321,5.597,11.475,6.207,5.597,2.753,surface,14.960,2.613,48.143,24.589,8.902
96,9600.000,8.537,4.177,8.877,4.409,4.177,2.946,surface,14.024,2.783,47.935,23.185,9.042
97,9700.000,10.745,6.173,11.360,6.207,6.173,3.072,surface,14.616,2.631,47.584,24.863,9.026
98,9800.000,10.095,5.263,11.553,5.984,5.263,3.327,surface,14.625,2.642,47.285,25.374,9.047
99,9900.000,8.469,4.751,8.900,5.166,4.751,3.006,surface,13.685,2.631,47.429,23.424,9.062
100,10000.000,9.754,5.930,8.022,4.426,4.426,3.095,surface,14.372,2.825,47.749,22.592,8.888
101,10100.000,11.647,6.465,9.669,5.253,5.253,3.040,surface,14.260,2.712,47.169,23.988,8.952
102,10200.000,10.528,5.746,8.710,4.178,4.178,3.012,surface,13.807,2.620,46.399,22.628,8.782
103,10300.000,11.013,6.256,8.964,4.573,4.573,3.406,surface,14.366,2.668,46.970,22.720,8.721
104,10400.000,8.162,3.109,9.352,3.251,3.109,3.109,FA3,15.727,2.598,47.893,20.440,8.539
105,10500.000,10.098,5.529,8.043,3.876,3.876,3.264,FA3,15.407,2.580,48.326,20.852,8.416
106,10600.000,12.674,5.689,10.499,4.082,4.082,3.443,surface,14.690,2.797,47.482,20.806,8.515
107,10700.000,12.732,5.673,10.564,3.978,3.978,3.272,FA3,14.882,2.639,47.684,20.036,8.605
108,10800.000,12.395,5.777,10.425,4.003,4.003,3.299,surface,13.912,2.681,47.561,20.787,8.439
109,10900.000,12.341,3.217,13.318,5.001,3.217,3.217,FA3,13.628,2.548,46.881,20.302,8.273
110,11000.000,13.164,4.149,14.287,5.704,4.149,3.505,surface,13.325,2.673,47.638,18.756,8.119
111,11100.000,11.299,3.720,10.674,4.145,3.720,3.184,FA3,12.489,2.695,47.918,19.160,8.031
112,11200.000,11.747,3.119,10.901,4.255,3.119,3.119,FA3,15.214,2.729,47.246,19.681,7.962
113,11300.000,11.697,4.098,10.798,3.275,3.275,3.275,FA3,13.305,2.775,47.658,20.678,8.135
114,11400.000,14.814,4.435,13.721,4.402,4.402,3.547,surface,13.530,2.743,47.894,20.369,8.118
115,11500.000,10.906,3.451,9.833,3.787,3.451,3.451,FA3,13.707,2.823,48.333,19.910,8.279
116,11600.000,13.769,3.882,12.122,3.685,3.685,3.492,FA3,14.781,2.686,47.905,20.565,8.355
117,11700.000,10.707,3.621,12.605,5.781,3.621,3.429,FA3,13.990,2.712,47.346,19.414,8.104
118,11800.000,12.312,4.252,12.747,5.280,4.252,3.500,surface,13.169,2.740,47.805,19.441,8.222
119,11900.000,13.354,4.441,13.741,5.591,4.441,3.320,surface,15.406,2.755,47.732,19.459,8.239
120,12000.000,8.914,3.517,7.988,3.495,3.495,3.495,FA3,14.543,2.701,47.384,20.106,8.295
121,12100.000,9.197,3.535,8.947,4.266,3.535,3.401,FA3,14.475,2.793,47.212,21.491,8.421
122,12200.000,9.107,3.380,10.993,5.313,3.380,3.380,FA3,14.439,2.752,47.058,19.413,8.269
123,12300.000,9.266,3.811,10.719,5.813,3.811,3.509,FA3,14.109,2.732,47.298,18.961,8.029
124,12400.000,10.836,3.761,12.935,5.837,3.761,3.616,FA3,12.793,2.792,47.024,20.531,8.392
125,12500.000,10.658,3.650,12.593,5.707,3.650,3.285,FA3,14.148,2.654,47.095,19.035,8.093
126,12600.000,11.465,3.179,13.480,5.356,3.179,3.179,FA3,15.672,2.823,47.718,19.037,8.046
127,12700.000,10.555,3.594,12.593,5.163,3.594,3.558,FA3,13.726,2.660,47.840,18.745,8.033
128,12800.000,9.714,4.159,11.737,6.190,4.159,3.929,surface,14.158,2.810,47.538,19.495,8.091
129,12900.000,9.356,3.058,11.154,5.037,3.058,3.058,FA3,13.802,2.754,47.086,19.887,8.170
130,13000.000,9.200,3.272,11.175,5.300,3.272,3.232,FA3,13.453,2.670,46.697,19.337,7.960
131,13100.000,8.767,3.013,10.444,5.148,3.013,3.013,FA3,15.037,2.703,47.788,18.893,8.151
132,13200.000,9.638,3.566,11.507,5.655,3.566,3.566,FA3,13.882,2.712,47.698,19.990,8.099
133,13300.000,8.709,2.865,10.520,4.997,2.865,2.865,FA3,13.847,2.672,47.564,20.029,8.191
134,13400.000,9.385,2.985,10.920,5.089,2.985,2.985,FA3,14.516,2.693,47.713,19.616,8.164
135,13500.000,8.745,2.873,10.245,4.827,2.873,2.873,FA3,13.672,2.651,47.602,19.306,8.116
136,13600.000,9.218,3.191,10.741,4.111,3.191,3.191,FA3,14.543,2.659,47.709,21.435,8.341
137,13700.000,7.602,3.212,9.173,5.299,3.212,3.212,FA3,14.918,2.601,47.824,18.794,8.097
138,13800.000,8.039,3.147,9.938,5.198,3.147,3.147,FA3,13.842,2.745,48.916,19.549,8.206
139,13900.000,9.156,3.120,10.009,4.522,3.120,3.120,FA3,14.439,2.738,48.921,19.304,7.995
140,14000.000,8.978,3.085,11.091,5.056,3.085,3.085,FA3,15.141,2.776,48.248,19.361,8.100
141,14100.000,10.456,2.912,12.437,5.110,2.912,2.912,FA3,13.038,2.693,48.535,20.424,8.268
142,14200.000,8.880,2.821,10.988,4.641,2.821,2.821,FA3,14.500,2.753,49.023,18.289,8.045
143,14300.000,9.943,2.644,11.663,4.688,2.644,2.644,FA3,14.126,2.600,49.279,20.140,8.068
144,14400.000,10.278,3.336,11.811,5.427,3.336,3.240,FA3,14.069,2.673,48.740,20.200,8.198
145,14500.000,10.736,3.834,12.118,5.967,3.834,3.276,FA3,15.258,2.684,48.541,19.323,8.257
146,14600.000,11.322,3.400,12.663,5.352,3.400,3.158,FA3,13.813,2.757,48.710,19.857,8.333
147,14700.000,11.353,3.936,13.140,5.871,3.936,3.255,FA3,15.153,2.760,49.020,19.815,8.536
148,14800.000,10.170,3.188,12.086,4.700,3.188,3.081,FA3,13.946,2.771,49.142,20.072,8.468
149,14900.000,9.070,2.887,11.039,4.828,2.887,2.887,FA3,14.969,2.675,48.136,20.288,8.252
150,15000.000,10.343,3.233,11.511,5.266,3.233,3.069,FA3,14.799,2.741,48.866,20.248,8.230
151,15100.000,11.241,4.316,11.273,4.729,4.316,3.585,surface,13.005,2.687,49.296,20.801,8.585
152,15200.000,8.935,3.238,10.580,5.126,3.238,3.238,FA3,14.059,2.667,49.240,20.394,8.466
153,15300.000,9.848,3.638,11.210,5.768,3.638,2.860,FA3,13.947,2.789,48.774,19.980,8.215
154,15400.000,10.577,2.895,12.245,4.925,2.895,2.895,FA3,14.809,2.752,48.024,19.716,7.994
155,15500.000,11.974,3.515,12.852,5.518,3.515,3.107,FA3,13.477,2.846,48.711,20.291,8.356
156,15600.000,11.091,3.577,11.983,5.408,3.577,3.351,FA3,14.522,2.761,49.399,19.560,8.234
157,15700.000,12.730,3.574,13.588,5.148,3.574,3.095,FA3,14.036,2.694,49.227,20.011,8.317
158,15800.000,13.748,3.687,14.343,5.397,3.687,2.947,FA3,14.083,2.772,49.746,19.405,8.219
159,15900.000,12.374,3.651,14.424,5.554,3.651,3.431,FA3,15.103,2.882,50.019,20.087,8.550
160,16000.000,13.361,3.401,14.218,5.154,3.401,3.401,FA3,13.891,2.736,49.125,19.507,8.229
161,16100.000,13.599,3.780,14.653,5.620,3.780,3.542,FA3,14.823,2.736,49.055,19.169,8.426
162,16200.000,12.691,4.596,13.707,6.361,4.596,3.335,surface,13.833,2.627,47.809,17.950,8.214
163,16300.000,11.595,4.230,12.721,5.669,4.230,3.350,surface,14.418,2.736,47.856,18.377,8.267
164,16400.000,13.594,5.487,11.709,4.593,4.593,3.280,surface,13.198,2.739,47.674,19.025,8.105
165,16500.000,12.393,5.293,10.478,4.676,4.676,3.211,surface,13.698,2.849,48.356,18.020,8.031
166,16600.000,14.639,6.169,12.824,5.422,5.422,3.326,surface,14.153,2.750,48.527,18.438,8.158
167,16700.000,12.986,3.782,13.983,5.380,3.782,3.402,FA3,13.273,2.944,47.846,17.667,7.961
168,16800.000,12.308,3.395,13.526,5.237,3.395,3.196,FA3,14.797,2.876,48.337,18.608,8.107
169,16900.000,12.260,3.215,13.386,5.079,3.215,3.215,FA3,13.948,2.776,48.541,19.295,8.293
170,17000.000,12.470,2.923,13.600,4.980,2.923,2.923,FA3,13.750,2.825,47.925,18.656,8.236
171,17100.000,10.875,3.333,12.373,5.405,3.333,3.333,FA3,14.068,2.740,48.243,19.110,8.164
172,17200.000,11.025,3.663,12.931,5.509,3.663,3.179,FA3,14.546,2.903,48.302,17.497,7.753
173,17300.000,13.817,3.918,14.845,5.421,3.918,3.095,FA3,13.889,2.838,48.292,18.939,8.124
174,17400.000,11.049,3.859,12.276,5.460,3.859,3.572,FA3,14.359,2.876,48.641,18.868,8.200
175,17500.000,11.172,3.448,12.168,5.265,3.448,2.921,FA3,15.128,2.821,48.329,19.708,7.918
176,17600.000,11.237,3.124,12.773,5.259,3.124,3.124,FA3,14.748,2.742,48.932,19.931,8.166
177,17700.000,12.437,3.414,12.886,5.388,3.414,3.102,FA3,13.747,2.688,48.967,17.732,8.045
178,17800.000,12.734,2.878,14.240,4.888,2.878,2.878,FA3,14.250,2.782,48.576,19.327,7.944
179,17900.000,13.390,3.463,14.589,5.178,3.463,3.407,FA3,14.166,2.763,48.909,20.580,8.041
180,18000.000,12.109,3.093,13.328,4.967,3.093,2.962,FA3,15.009,2.710,48.322,19.054,7.740
181,18100.000,11.722,3.013,12.699,4.772,3.013,3.013,FA3,13.720,2.754,48.246,19.722,7.871
182,18200.000,11.978,3.302,13.077,5.172,3.302,3.206,FA3,14.624,2.819,48.268,17.969,7.536
183,18300.000,13.699,3.318,15.168,5.216,3.318,3.318,FA3,14.055,2.591,47.985,19.255,7.782
184,18400.000,13.915,3.742,15.213,5.642,3.742,3.185,FA3,14.814,2.696,47.856,19.682,8.002
185,18500.000,10.879,4.303,12.293,6.388,4.303,3.519,surface,13.646,2.656,47.961,19.873,7.876
186,18600.000,11.463,3.441,13.087,5.355,3.441,3.120,FA3,13.899,2.761,47.977,19.417,8.009
187,18700.000,12.848,3.341,13.829,5.080,3.341,3.139,FA3,13.906,2.575,48.205,19.173,7.763
188,18800.000,12.218,3.782,13.517,5.751,3.782,3.517,FA3,13.696,2.676,48.536,19.088,7.912
189,18900.000,12.860,4.120,13.908,5.680,4.120,3.370,surface,13.713,2.854,48.665,17.996,7.854
190,19000.000,12.775,4.549,13.756,6.088,4.549,3.268,surface,14.095,2.599,48.362,19.403,8.033
191,19100.000,13.037,4.884,13.670,6.396,4.884,3.411,surface,12.939,2.696,47.960,19.355,8.273
192,19200.000,13.613,4.358,14.192,5.522,4.358,3.380,surface,14.164,2.767,48.277,19.223,8.142
193,19300.000,13.222,5.135,13.337,6.152,5.135,3.168,surface,13.765,2.741,48.059,19.222,8.312
194,19400.000,12.451,3.960,13.680,5.468,3.960,3.232,FA3,14.732,2.648,48.446,18.220,7.961
195,19500.000,13.613,3.378,15.108,5.368,3.378,3.378,FA3,14.358,2.733,48.304,19.887,7.875
196,19600.000,12.735,3.724,13.683,5.065,3.724,3.497,FA3,13.951,2.608,48.336,20.920,8.267
197,19700.000,11.998,4.630,12.193,5.858,4.630,2.892,surface,14.163,2.717,48.308,19.300,8.411
198,19800.000,10.698,3.561,12.172,3.507,3.507,3.507,FA3,13.619,2.778,48.283,20.687,8.534
199,19900.000,13.038,6.284,12.252,6.520,6.284,3.249,surface,14.462,2.678,48.633,19.359,8.100
200,20000.000,12.601,4.499,13.005,5.643,4.499,3.685,surface,14.548,2.684,47.861,19.013,8.170
201,20100.000,13.626,3.833,14.035,5.476,3.833,3.260,FA3,14.055,2.719,47.617,20.158,8.355
202,20200.000,14.357,4.683,14.770,6.110,4.683,3.424,surface,14.881,2.679,47.664,19.507,7.948
203,20300.000,11.905,4.239,12.854,5.762,4.239,3.743,surface,15.141,2.560,47.274,19.140,8.120
204,20400.000,11.090,2.941,11.389,4.135,2.941,2.941,FA3,15.214,2.670,47.140,21.661,7.986
205,20500.000,11.418,6.735,12.863,8.815,6.735,3.087,surface,13.571,2.742,46.337,19.014,7.794
206,20600.000,14.208,6.142,15.461,8.062,6.142,3.288,surface,12.549,2.651,45.909,16.972,7.546
207,20700.000,12.874,5.562,14.292,7.584,5.562,3.411,surface,11.676,2.909,45.943,18.812,7.831
208,20800.000,9.938,3.150,11.140,5.152,3.150,3.150,FA3,13.999,2.962,45.955,19.834,7.740
209,20900.000,11.051,3.093,11.632,4.853,3.093,3.068,FA3,14.059,2.664,47.688,19.903,7.991
210,21000.000,11.896,3.059,12.986,5.112,3.059,3.059,FA3,15.547,2.741,47.341,18.814,7.801
211,21100.000,12.999,3.569,14.386,5.388,3.569,3.122,FA3,14.447,2.706,47.368,18.849,7.986
212,21200.000,12.365,4.081,13.411,5.765,4.081,3.360,surface,11.944,2.694,47.235,17.811,8.018
213,21300.000,13.456,4.532,14.212,5.912,4.532,3.243,surface,14.596,2.669,46.753,18.254,7.975
214,21400.000,11.751,3.222,13.151,5.150,3.222,2.803,FA3,13.658,2.742,46.932,18.072,8.074
215,21500.000,11.748,3.858,13.096,5.844,3.858,3.207,FA3,12.600,2.797,47.204,18.647,7.917
216,21600.000,12.505,3.367,12.097,4.027,3.367,3.367,FA3,14.337,2.700,46.461,18.867,7.550
217,21700.000,11.524,2.959,11.789,4.544,2.959,2.959,FA3,13.027,2.694,47.173,19.501,8.060
218,21800.000,13.217,4.338,13.529,5.625,4.338,3.448,surface,14.097,2.815,46.490,19.022,8.139
219,21900.000,13.945,5.112,13.631,5.893,5.112,3.383,surface,13.987,2.747,47.365,18.652,8.284
220,22000.000,11.291,3.533,12.252,5.289,3.533,3.533,FA3,13.843,2.846,47.777,19.044,8.178
221,22100.000,10.270,5.396,9.654,5.872,5.396,3.252,surface,13.998,2.719,47.011,18.634,8.127
222,22200.000,12.916,5.097,13.245,6.011,5.097,3.352,surface,13.911,2.667,47.483,19.187,8.270
223,22300.000,12.932,5.448,12.488,5.994,5.448,3.179,surface,14.182,2.717,47.442,18.124,7.943
224,22400.000,14.082,5.097,14.990,6.205,5.097,3.236,surface,14.563,2.700,47.165,18.789,8.246
225,22500.000,13.231,4.024,14.068,5.515,4.024,3.186,surface,13.217,2.731,47.779,18.147,8.017
226,22600.000,12.698,3.921,13.229,5.698,3.921,3.203,FA3,12.320,2.720,47.238,18.753,8.187
227,22700.000,14.107,4.676,13.629,5.579,4.676,3.369,surface,13.714,2.750,46.832,19.257,8.302
228,22800.000,13.222,5.266,12.878,5.559,5.266,3.245,surface,11.829,2.824,46.616,17.566,7.772
229,22900.000,10.828,3.784,11.083,5.255,3.784,3.196,FA3,13.497,2.768,46.604,18.757,8.249
230,23000.000,11.440,3.307,12.449,5.135,3.307,3.153,FA3,12.762,2.773,46.262,18.116,8.112
231,23100.000,11.574,5.933,12.109,6.179,5.933,3.501,surface,13.939,2.866,46.504,20.169,8.349
232,23200.000,11.235,4.310,11.895,5.871,4.310,3.360,surface,14.051,2.847,47.286,19.095,8.147
233,23300.000,12.211,5.109,12.668,6.106,5.109,3.668,surface,13.480,2.730,46.841,18.406,8.156
234,23400.000,11.378,3.019,12.736,4.981,3.019,3.019,FA3,14.221,2.694,47.319,19.268,8.195
235,23500.000,11.558,4.028,12.222,5.667,4.028,3.530,surface,13.141,2.674,46.954,18.841,8.161
236,23600.000,12.225,2.986,14.138,5.014,2.986,2.986,FA3,12.693,2.709,46.765,18.151,7.886
237,23700.000,10.836,4.785,11.745,5.916,4.785,3.228,surface,13.622,2.669,47.145,18.118,8.065
238,23800.000,12.260,3.570,11.531,4.142,3.570,3.371,FA3,13.179,2.578,47.578,18.935,8.012
239,23900.000,11.850,4.070,12.738,5.573,4.070,3.122,surface,15.119,2.740,47.132,19.131,8.000
240,24000.000,13.220,3.479,13.732,5.098,3.479,3.429,FA3,13.430,2.725,47.296,20.210,8.401
241,24100.000,12.549,4.034,13.327,5.637,4.034,3.379,surface,14.998,2.655,47.471,18.973,8.178
242,24200.000,14.367,6.151,14.379,6.739,6.151,3.014,surface,14.671,2.645,47.383,18.532,8.257
243,24300.000,13.973,6.027,13.093,5.965,5.965,3.277,surface,14.347,2.717,47.996,18.699,8.397
244,24400.000,12.170,4.721,12.934,6.207,4.721,3.264,surface,14.486,2.820,47.358,19.536,8.425
245,24500.000,12.722,4.938,12.384,5.449,4.938,3.363,surface,13.791,2.668,47.032,18.185,8.106
246,24600.000,13.214,5.371,13.721,6.269,5.371,3.520,surface,14.135,2.863,47.734,19.201,8.338
247,24700.000,14.421,5.307,15.169,6.287,5.307,3.771,surface,14.774,2.665,47.588,18.292,8.065
248,24800.000,14.165,5.298,14.435,6.198,5.298,3.204,surface,14.881,2.786,47.683,19.003,8.122
249,24900.000,13.209,4.997,14.713,6.381,4.997,3.094,surface,14.465,2.796,47.908,18.058,8.220
250,25000.000,11.176,3.601,12.932,5.504,3.601,3.216,FA3,13.997,2.747,48.050,18.872,8.425
251,25100.000,14.184,4.972,14.358,5.783,4.972,3.323,surface,14.477,2.731,47.768,18.830,8.335
252,25200.000,15.448,5.618,15.091,6.204,5.618,3.140,surface,13.640,2.763,47.730,17.954,8.152
