Time_ns,LNK_COM_z_A,LNK_Head_z_A,LNK_Tail_z_A,Mem_Upper_z_A,Mem_Lower_z_A,Mem_COM_z_A,LNK_Tilt_deg,LysNZ_LNK_Dist_A,LNK_COM_rel_mem_A
1.5,160.75831298215655,151.19162234207994,162.3125114440918,127.814,81.45801,105.65509,64.03180149719627,14.775490891213595,55.1032226501253
1.6,162.0641380205377,151.5452522585813,167.64375686645508,128.134,81.525,105.82023,51.09594339183311,14.11270229235095,56.243909443877556
1.7,161.16945108496677,149.57817488959273,168.0850086212158,128.05402,81.990005,106.15205,40.88827188515545,11.819704592485772,55.017404881353485
1.8,160.6447052026702,149.86604958129445,165.10750770568848,127.382,81.493004,105.501076,49.10076345393209,12.62757359198599,55.14362945804129
1.9,161.1175195924067,150.99094636522227,164.4375095367432,127.84801,81.913,105.771355,59.262162068701436,12.549939617114278,55.346164917113725
2.0,161.44712532653614,150.88294178317014,164.29125785827637,128.072,81.791,105.78226,57.24039511510293,12.242920586892097,55.66486824645801
2.1,161.10735251489984,149.77927051059348,165.70751190185544,128.247,81.68201,105.75852,53.49581225974257,13.096992980517777,55.34883048120844
2.2,163.3165497867115,150.15408608446495,173.74126052856445,126.587006,80.89001,104.67349,41.206852278130434,15.146173743407392,58.64305735507088
2.3,162.36833563425063,150.32825208888065,171.2712554931641,127.421005,80.74901,104.935524,52.71912450082617,18.007638230605476,57.43281164743422
2.4,162.4614994594137,153.02949492090897,168.93375587463376,127.59701,81.600006,105.56503,56.95091449642983,14.836221676423946,56.89646650042931
2.5,159.160606327043,149.51234699709713,166.21250534057614,126.91001,81.256004,104.994675,48.89596181002494,14.173816601135075,54.165931644425825
2.6,157.3948576815168,149.76146057946124,166.07625579833984,126.95301,80.82001,104.89537,46.81652222105272,10.401504902932775,52.49948719811837
2.7,157.99873150894305,148.96262004099114,166.80750846862793,127.08,81.401,104.94664,36.77049678601422,12.033741170854242,53.052091494294615
2.8,156.9854543539937,147.40913822683305,166.74125862121582,127.17701,80.962006,105.15649,35.83956067996757,10.380348481990218,51.828967842763234
2.9,158.5257256525209,144.35733071806715,169.26251029968262,127.739006,81.353004,105.30753,21.630287103556864,10.803034746589468,53.218192388360734
3.0,157.27142163466226,146.95410068277164,169.26375579833984,128.006,81.713005,105.62206,23.85399798975209,10.609714019066576,51.64935895155679
3.1,159.57921499033603,147.7088818941185,166.7662582397461,128.01201,81.90901,105.5677,34.30279156641767,11.424218035676358,54.011511743265714
3.2,155.67467250569146,146.80035885537177,166.73250961303714,128.345,81.849,105.85193,21.58282592960227,9.849631211775838,49.82274379475396
3.3,154.3501709475848,145.26921366532264,167.47876358032227,127.679,81.20601,105.37778,16.064647515208783,9.28396715309249,48.97239384797541
3.4,155.44059596429074,145.7360520235545,168.20250511169434,127.384,81.356,105.21849,17.12976011147772,10.422570576696787,50.2221053637048
3.5,154.4599193966758,145.34080159517404,166.6000099182129,127.090004,81.395004,105.431984,12.843794165058114,10.167082662828863,49.02793544892188
3.6,156.08727447920506,142.9442055992657,166.8475074768066,126.601006,80.87301,105.07887,5.101806450245089,11.138468605988143,51.008401798541
3.7,155.31623107387185,147.4638920717674,166.59000968933105,127.284004,81.517006,105.572075,17.886538526324163,8.678209652207558,49.74415618373513
3.8,156.21882922138502,146.39363268814878,170.46376037597656,126.65,80.548004,104.86693,24.6698856475629,10.303300964927656,51.351901120799084
3.9,155.86086266282493,144.13159863649608,166.3275032043457,126.657005,80.753006,104.743004,16.521377436652102,10.675805623580041,51.117858817610085
4.0,154.82191938801827,142.51099926912715,165.46125411987308,127.21701,80.694,105.061,15.80488316731023,9.609929057861574,49.76092237874093
4.1,152.84080134788897,146.4512726415547,165.2425079345703,127.630005,80.993,105.53391,18.35290045286551,7.025632474840557,47.306888689197564
4.2,153.1136491933926,144.27688675841554,166.1150074005127,127.52301,80.937004,105.40858,26.33308164037782,8.594548981840209,47.70507222806057
4.3,152.2743336633546,144.04324679447114,164.17251014709473,127.468,80.922005,105.417366,30.202231114974868,8.103968214924539,46.85696763552258
4.4,152.6144207102508,143.99130517302464,165.32000732421875,127.297005,80.71,105.21317,23.596276469153402,7.032149042965414,47.401247797653156
4.5,152.90685203724306,143.98770811567297,163.98875427246094,127.27401,80.746,105.01511,20.17685393469141,7.84467293630801,47.89174583607118
