Time_ns,PC1,PC2
34.4,127.64615,-10.592604
34.5,152.6314,-14.485504
34.6,154.1422,-11.825848
34.7,156.36826,-16.868965
34.8,170.11565,-15.816866
34.9,159.3423,-6.64193
35.0,165.5524,-12.36245
35.1,166.41628,-13.52907
35.2,159.72864,-21.364944
35.3,154.24281,-18.59072
35.4,154.23438,-26.042799
35.5,144.11005,-23.794743
35.6,143.52794,-24.82091
35.7,138.5219,-29.961384
35.8,153.87479,-26.128231
35.9,156.5433,-22.920626
36.0,149.68993,-14.944771
36.1,149.35248,-17.21848
36.2,152.40396,-16.645514
36.3,172.64215,-9.971011
36.4,173.88286,1.0087672
36.5,157.16853,-12.634796
36.6,161.4693,-12.730683
36.7,161.19064,-2.6014667
36.8,156.85077,-16.656033
36.9,151.14647,-23.662643
37.0,164.85442,-30.917343
37.1,165.32455,-28.048918
37.2,181.79831,-35.992687
37.3,180.68669,-28.259436
37.4,177.90889,-32.380135
37.5,179.06265,-29.884169
37.6,163.63943,-24.768179
37.7,167.5696,-30.06746
37.8,167.83832,-31.983738
37.9,167.60309,-34.452213
38.0,175.33414,-29.043709
38.1,178.124,-18.511154
38.2,173.50476,-10.414141
38.3,168.12184,-20.031893
38.4,173.542,-2.8655362
38.5,178.80904,-10.426559
38.6,176.55698,-14.918216
38.7,178.77711,-14.013118
38.8,178.57399,-11.275145
38.9,178.252,-9.949992
39.0,177.50812,-15.292915
39.1,174.68513,-16.131605
39.2,180.81332,-22.84352
39.3,178.60907,-23.41966
39.4,179.18848,-27.786947
39.5,187.93802,-26.361523
39.6,190.68785,-12.161203
39.7,179.30367,-17.612848
39.8,167.93727,-27.136583
39.9,169.11316,-14.705314
40.0,175.97447,-19.655226
40.1,158.50464,-27.478222
40.2,155.11655,-22.724777
40.3,156.90019,-27.215609
40.4,151.37212,-23.023407
40.5,152.0466,-26.43847
40.6,159.89899,-40.15599
40.7,157.46397,-29.591179
40.8,155.85345,-28.33541
40.9,170.1728,-31.840809
41.0,160.39604,-34.56691
41.1,171.81474,-34.661896
41.2,161.37778,-27.07174
41.3,165.9259,-30.154953
41.4,169.27988,-17.368502
41.5,151.69301,-12.147585
41.6,154.9364,-13.86488
41.7,151.06268,-3.948708
41.8,150.46068,-7.0611653
41.9,155.2504,-15.961961
42.0,162.87753,-24.482494
42.1,149.34857,-32.29847
42.2,140.13486,-35.973423
42.3,150.08595,-35.542458
42.4,157.0949,-37.64902
42.5,154.296,-39.203625
42.6,142.50206,-44.864845
42.7,153.9957,-36.658466
42.8,166.93646,-31.279222
42.9,161.48877,-26.776264
43.0,151.09708,-29.21306
43.1,152.84494,-29.281923
43.2,161.99185,-37.22718
43.3,168.08784,-31.009556
43.4,161.9918,-21.02725
43.5,156.07549,-31.501217
43.6,158.52258,-30.211811
43.7,159.39354,-30.536966
43.8,147.71661,-34.80176
43.9,154.83804,-24.692936
44.0,162.5402,-23.639
44.1,168.42725,-20.48262
44.2,167.63077,-30.865744
44.3,160.35115,-23.782768
44.4,170.49376,-38.080704
44.5,163.17351,-43.97223
44.6,155.20853,-39.172623
44.7,161.78711,-29.377626
44.8,153.70766,-25.38249
44.9,147.82878,-36.285492
45.0,152.90234,-41.797905
45.1,142.97446,-52.671085
45.2,134.77452,-49.903244
45.3,148.75053,-52.80818
45.4,133.00854,-57.58151
45.5,130.07614,-59.022568
45.6,134.7558,-70.758286
45.7,151.2349,-56.26506
45.8,132.81601,-53.330288
45.9,130.48126,-65.45987
46.0,127.966156,-65.16338
46.1,135.19647,-63.289616
46.2,123.86601,-70.74532
46.3,116.9295,-76.90556
46.4,115.760735,-68.48247
46.5,115.66707,-72.29614
46.6,117.60315,-71.17749
46.7,124.89949,-68.47979
46.8,123.76675,-68.173386
46.9,122.94126,-62.89743
47.0,138.321,-62.642033
47.1,134.39516,-65.29108
47.2,131.03561,-54.956947
47.3,134.88152,-61.30914
47.4,139.67056,-55.647404
47.5,139.43301,-60.59188
47.6,137.79683,-68.068474
47.7,139.69148,-73.954155
47.8,126.852615,-81.38381
47.9,135.01392,-85.7975
48.0,124.13977,-87.63124
48.1,122.35812,-84.67599
48.2,120.67163,-79.78384
48.3,119.57522,-77.378456
48.4,114.06211,-83.49941
48.5,114.56712,-85.90631
48.6,130.75195,-78.038994
48.7,117.769035,-77.56585
48.8,113.05792,-80.46837
48.9,127.0699,-77.26422
49.0,123.106575,-67.78537
49.1,139.08522,-68.706406
49.2,136.02133,-63.777386
49.3,147.71846,-67.30263
49.4,154.17973,-60.1027
49.5,152.62782,-57.658604
49.6,133.12296,-66.93319
49.7,137.86357,-69.06908
49.8,133.2018,-71.15467
49.9,136.52899,-68.60299
50.0,123.87403,-70.00262
50.1,137.16566,-59.942425
50.2,129.25665,-69.67284
50.3,125.60924,-66.18786
50.4,117.11407,-72.72533
50.5,115.48073,-62.35413
50.6,119.41597,-63.4821
50.7,126.47484,-75.970024
50.8,133.49998,-64.56536
50.9,117.44467,-61.02615
51.0,108.247,-61.224052
51.1,107.46812,-68.83189
51.2,103.46409,-65.1883
51.3,105.47761,-63.371475
51.4,94.63392,-77.100655
51.5,94.638466,-78.235306
51.6,81.84924,-72.675285
51.7,95.06306,-77.92553
51.8,100.40122,-79.90663
51.9,107.772255,-79.38904
52.0,93.9022,-74.01846
52.1,96.029854,-77.98833
52.2,93.04812,-74.58579
52.3,107.690636,-78.95613
52.4,107.65406,-72.54241
52.5,101.21037,-85.282234
52.6,106.10442,-80.39624
52.7,113.385925,-67.55973
52.8,114.011185,-76.33926
52.9,123.95979,-73.78192
53.0,139.50851,-89.479805
53.1,123.86285,-85.45056
53.2,108.23095,-82.1055
53.3,103.411705,-87.7846
53.4,116.269295,-80.864716
53.5,135.09811,-88.76244
53.6,121.12478,-89.35251
53.7,116.05176,-95.87743
53.8,102.10356,-98.61817
53.9,91.49935,-102.973
54.0,112.894775,-99.137596
54.1,107.594955,-98.20993
54.2,101.60795,-96.66804
54.3,101.939644,-91.797554
54.4,106.085785,-88.66105
54.5,100.370834,-85.66814
54.6,97.67376,-78.26929
54.7,116.077614,-76.725266
54.8,105.729935,-76.34242
54.9,99.99979,-78.92354
55.0,90.54905,-76.90106
55.1,87.61584,-90.5676
55.2,85.92531,-86.326996
55.3,90.454414,-79.30453
55.4,83.159584,-82.86091
55.5,77.27272,-82.64029
55.6,61.056885,-75.995346
55.7,43.913364,-81.756516
55.8,57.350903,-88.34727
55.9,66.70836,-99.50902
56.0,55.03235,-97.68271
56.1,27.820421,-95.680664
56.2,28.27928,-92.51286
56.3,24.807636,-98.84241
56.4,37.86015,-99.534676
56.5,33.022045,-107.07197
56.6,25.354744,-100.712234
56.7,18.1649,-97.18884
56.8,31.49509,-102.149734
56.9,38.561836,-104.360016
57.0,42.76834,-98.12854
57.1,39.384632,-92.71472
57.2,36.82961,-92.93576
57.3,33.377014,-88.1102
57.4,22.741972,-82.12017
57.5,24.08841,-81.09246
57.6,25.471241,-78.745224
57.7,18.948391,-76.87427
57.8,8.691712,-85.8339
57.9,2.940042,-91.828636
58.0,24.10362,-97.53762
58.1,39.701916,-90.44702
58.2,28.288713,-90.166794
58.3,23.05747,-89.079094
58.4,25.538757,-93.83717
58.5,42.39286,-90.17172
58.6,34.34026,-88.38016
58.7,62.367725,-98.21116
58.8,36.78967,-101.899925
58.9,55.0377,-91.68132
59.0,54.65975,-91.72864
59.1,41.97985,-93.35304
59.2,47.13336,-93.38516
59.3,36.880394,-90.79785
59.4,42.545223,-86.64444
59.5,36.28145,-93.74737
59.6,31.860558,-84.55376
59.7,29.91565,-84.77706
59.8,42.852276,-93.70189
59.9,42.54072,-82.70838
60.0,36.82884,-87.588554
60.1,52.390766,-91.85934
60.2,37.547268,-92.61087
60.3,24.879307,-98.63357
60.4,16.153454,-94.445854
60.5,16.680859,-108.51652
60.6,18.69669,-95.35338
60.7,27.930513,-92.3884
60.8,12.367333,-95.894226
60.9,34.438187,-86.04368
61.0,31.414232,-104.27805
61.1,50.606327,-102.955795
61.2,49.119175,-99.79896
61.3,58.903545,-92.33693
61.4,46.91889,-93.166145
61.5,56.328876,-98.206314
61.6,60.818104,-88.68252
61.7,59.035942,-88.34665
61.8,64.35682,-96.36979
61.9,58.810596,-80.65653
62.0,36.237835,-83.40523
62.1,31.263311,-81.33676
62.2,26.597132,-91.682915
62.3,32.706814,-85.60701
62.4,28.163153,-84.48972
62.5,33.032806,-91.94746
62.6,29.389095,-100.41532
62.7,21.115303,-91.81364
62.8,14.582985,-95.86402
62.9,21.804949,-93.79656
63.0,18.085875,-99.249825
63.1,22.101723,-90.77587
63.2,10.67848,-90.56739
63.3,8.474316,-83.21174
63.4,18.932821,-86.433395
63.5,25.936344,-92.12754
63.6,36.035156,-92.63897
63.7,27.010675,-85.648476
63.8,40.92727,-90.31032
63.9,32.658226,-82.69569
64.0,40.704723,-78.708725
64.1,46.58185,-77.35627
64.2,24.416351,-78.54181
64.3,27.43826,-87.27214
64.4,18.592873,-74.90845
64.5,17.809862,-75.08439
64.6,17.75842,-77.60869
64.7,20.55851,-79.911934
64.8,27.100452,-82.056206
64.9,20.938166,-73.43317
65.0,14.264378,-79.832695
65.1,19.743992,-84.523964
65.2,21.351198,-72.11694
65.3,25.97715,-66.99071
65.4,16.59029,-64.438576
65.5,23.650818,-65.82471
65.6,19.581724,-61.22792
65.7,15.55908,-62.6555
65.8,24.710037,-66.77372
65.9,27.229053,-66.117615
66.0,24.06877,-63.586655
66.1,25.161095,-70.268814
66.2,19.06306,-68.871666
66.3,15.033904,-63.473824
66.4,38.806602,-61.712067
66.5,43.801247,-58.641735
66.6,45.08582,-58.79946
66.7,25.525589,-55.68217
66.8,27.933296,-63.29267
66.9,27.363483,-64.1497
67.0,29.389963,-62.76495
67.1,23.382433,-54.673992
67.2,9.257592,-59.051933
67.3,19.228949,-63.71859
67.4,31.096785,-69.52449
