Time,Potential,Temperature,Pressure,Volume,Density,Box-X,Box-Y,Box-Z
37800.0,-3631952.75,310.6011657714844,4.624879360198975,3141.94140625,998.8982543945312,12.320311546325684,12.30987548828125,20.7168025970459
37810.0,-3630932.5,309.62237548828125,-21.05282974243164,3143.212646484375,998.4942626953125,12.31860065460205,12.30816650390625,20.730941772460938
37820.0,-3627204.25,310.1657409667969,108.55359649658203,3142.0478515625,998.8644409179688,12.316606521606445,12.306174278259277,20.729969024658203
37830.0,-3628907.25,310.06787109375,-53.25156784057617,3143.094970703125,998.5316772460938,12.320589065551758,12.310153007507324,20.723474502563477
37840.0,-3630720.0,310.5670166015625,-45.1380729675293,3148.116943359375,996.9387817382812,12.324203491210938,12.313764572143555,20.744413375854492
37850.0,-3632660.25,310.9512634277344,35.016780853271484,3143.306884765625,998.46435546875,12.314730644226074,12.304299354553223,20.74459457397461
37860.0,-3629445.5,309.61053466796875,-68.2871322631836,3149.944580078125,996.3603515625,12.331111907958984,12.320667266845703,20.733205795288086
37870.0,-3631706.75,310.77935791015625,39.608497619628906,3147.648193359375,997.0872192382812,12.340807914733887,12.330354690551758,20.685548782348633
37880.0,-3629331.0,310.5316467285156,-27.182992935180664,3142.642578125,998.6754150390625,12.32901382446289,12.318571090698242,20.692182540893555
37890.0,-3633794.0,309.4450988769531,-32.74735641479492,3141.534912109375,999.0275268554688,12.314958572387695,12.304527282714844,20.732133865356445
37900.0,-3632332.0,310.09832763671875,90.2728500366211,3142.2421875,998.8026733398438,12.311934471130371,12.301506042480469,20.74698829650879
37910.0,-3629819.5,310.5679931640625,31.139894485473633,3140.616943359375,999.3195190429688,12.29528522491455,12.284870147705078,20.792455673217773
37920.0,-3630975.0,310.26007080078125,-86.48770904541016,3148.29296875,996.883056640625,12.310765266418457,12.300337791442871,20.7908878326416
37930.0,-3628000.25,309.72161865234375,-4.766506195068359,3146.421142578125,997.47607421875,12.315435409545898,12.305004119873047,20.76276969909668
37940.0,-3628893.5,310.5962829589844,-69.38843536376953,3146.505859375,997.44921875,12.320655822753906,12.310219764709473,20.745738983154297
